2025-09-18 19:41:28,197 - INFO - 📋 Starting Modularized Optuna Pipeline
2025-09-18 19:41:28,198 - INFO - 📦 Original shape: (15000, 11)
2025-09-18 19:41:28,198 - INFO - 🧹 Cleaning dataset (dropping NaNs)
2025-09-18 19:41:28,213 - INFO - 📐 Performing train-test split.
2025-09-18 19:41:28,285 - INFO - ✅ After dropna: (14694, 11)
2025-09-18 19:41:28,285 - INFO - 🚀 Starting optimization for: torch_mlp
2025-09-18 23:41:26,274 - INFO - 🔁 Trial 75: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:43:35,774 - INFO - 🔁 Trial 76: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:44:27,094 - INFO - 🔁 Trial 77: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:44:39,114 - INFO - 🔁 Trial 78: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:46:33,069 - INFO - 🔁 Trial 79: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:48:45,160 - INFO - 🔁 Trial 80: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 23:58:11,267 - INFO - 🔁 Trial 81: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:08:54,962 - INFO - 🔁 Trial 82: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:14:24,414 - INFO - 🔁 Trial 83: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:18:33,404 - INFO - 🔁 Trial 84: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:21:11,189 - INFO - 🔁 Trial 85: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:24:29,792 - INFO - 🔁 Trial 86: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:25:29,574 - INFO - 🔁 Trial 87: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:31:09,854 - INFO - 🔁 Trial 88: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:32:02,670 - INFO - 🔁 Trial 89: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:33:12,410 - INFO - 🔁 Trial 90: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:34:17,957 - INFO - 🔁 Trial 91: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:36:13,695 - INFO - 🔁 Trial 92: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:37:32,723 - INFO - 🔁 Trial 93: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:42:17,733 - INFO - 🔁 Trial 94: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:42:46,055 - INFO - 🔁 Trial 95: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:45:22,927 - INFO - 🔁 Trial 96: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:52:57,796 - INFO - 🔁 Trial 97: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-19 00:56:56,999 - INFO - 🔁 Trial 98: Best RMSE=inf, Best R2=0.8210, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
